('CZ75-Auto | Tuxedo', False, False)
('Dual Berettas | Briar', False, True)
('Dual Berettas | Moon in Libra', False, False)
('Dual Berettas | Balance', True, False)
('Dual Berettas | Cartel', True, False)
('Dual Berettas | Switch Board', False, False)
('Dual Berettas | Elite 1.6', True, False)
('Dual Berettas | Demolition', False, True)
('Dual Berettas | Ventilators', True, False)
('Dual Berettas | Colony', False, True)
('Dual Berettas | Oil Change', False, True)
('Dual Berettas | Contractor', False, True)
('Dual Berettas | Drift Wood', False, True)
('Dual Berettas | Tread', True, False)
('Dual Berettas | Retribution', True, False)
('Dual Berettas | Emerald', False, False)
('Dual Berettas | Anodized Navy', False, True)
('Five-SeveN | Hybrid', True, False)
('Five-SeveN | Monkey Business', True, False)
('Five-SeveN | Boost Protocol', True, False)
('Five-SeveN | Angry Mob', True, False)
('Five-SeveN | Fairy Tale', True, False)
('Five-SeveN | Silver Quartz', False, True)
('Five-SeveN | Heat Treated', False, False)
('Five-SeveN | Violent Daimyo', True, False)
('Five-SeveN | Urban Hazard', True, False)
('Five-SeveN | Berries And Cherries', False, False)
('Five-SeveN | Case Hardened', True, False)
('Five-SeveN | Scrawl', True, False)
('Five-SeveN | Hyper Beast', True, False)
('Five-SeveN | Retrobution', True, False)
('Five-SeveN | Fowl Play', True, False)
('Five-SeveN | Midnight Paintover', False, False)
('Five-SeveN | Hot Shot', False, True)
('Five-SeveN | Kami', True, False)
('Five-SeveN | Copper Galaxy', True, False)
('Five-SeveN | Nightshade', True, False)
('Five-SeveN | Flame Test', True, False)
('Five-SeveN | Orange Peel', False, True)
('Five-SeveN | Buddy', True, False)
('Five-SeveN | Triumvirate', True, False)
('Five-SeveN | Capillary', True, False)
('Five-SeveN | Coolant', False, True)
('Five-SeveN | Withered Vine', False, True)
('Five-SeveN | Candy Apple', False, False)
('Five-SeveN | Nitro', False, False)
('Five-SeveN | Forest Night', False, True)
('Five-SeveN | Contractor', False, True)
('Five-SeveN | Jungle', False, False)
('Five-SeveN | Scumbria', True, False)
('Five-SeveN | Anodized Gunmetal', False, False)
('Five-SeveN | Fall Hazard', False, True)
('Five-SeveN | Neon Kimono', False, False)
('Five-SeveN | Crimson Blossom', False, False)
('Glock-18 | Vogue', True, False)
('Glock-18 | Gold Toof', True, False)
('Glock-18 | Water Elemental', True, False)
('Glock-18 | AXIA', False, False)
('Glock-18 | Block-18', True, False)
('Glock-18 | Neo-Noir', True, False)
('Glock-18 | Moonrise', True, False)
('Glock-18 | Umbral Rabbit', True, False)
('Glock-18 | Candy Apple', False, True)
('Glock-18 | Bullet Queen', True, False)
('Glock-18 | Wasteland Rebel', True, False)
('Glock-18 | Dragon Tattoo', True, False)
('Glock-18 | Gamma Doppler', False, False)
('Glock-18 | Nuclear Garden', False, True)
('Glock-18 | Teal Graf', False, False)
("Glock-18 | Ramese's Reach", False, True)
('Glock-18 | Weasel', True, False)
('Glock-18 | Clear Polymer', True, False)
('Glock-18 | Bunsen Burner', True, False)
('Glock-18 | High Beam', False, True)
('Glock-18 | Snack Attack', True, False)
('Glock-18 | Royal Legion', True, False)
('Glock-18 | Winterized', True, False)
('Glock-18 | Blue Fissure', True, False)
('Glock-18 | Off World', True, False)
('Glock-18 | Sacrifice', True, False)
('Glock-18 | Ironwork', True, False)
('Glock-18 | Oxide Blaze', True, False)
('Glock-18 | Catacombs', True, False)
('Glock-18 | Reactor', False, True)
('Glock-18 | Warhawk', True, False)
('Glock-18 | Wraiths', True, False)
('Glock-18 | Night', False, True)
('Glock-18 | Death Rattle', False, False)
('Glock-18 | Grinder', True, False)
('Glock-18 | Pink DDPAT', False, True)
('Glock-18 | Twilight Galaxy', False, False)
('Glock-18 | Franklin', False, False)
('Glock-18 | Brass', False, False)
('Glock-18 | Groundwater', False, True)
('Glock-18 | Red Tire', False, True)
('Glock-18 | Steel Disruption', True, False)
('Glock-18 | Sand Dune', False, False)
('Glock-18 | Synth Leaf', False, False)
('Glock-18 | Fade', False, False)
('P2000 | Amber Fade', False, True)
('P2000 | Wicked Sick', True, False)
('P2000 | Fire Elemental', True, False)
('P2000 | Imperial Dragon', True, False)
('P2000 | Acid Etched', True, False)
('P2000 | Gnarled', True, False)
('P2000 | Ocean Foam', True, False)
('P2000 | Handgun', True, False)
('P2000 | Silver', False, False)
('P2000 | Obsidian', True, False)
('P2000 | Coral Halftone', False, False)
('P2000 | Dispatch', False, False)
('P2000 | Imperial', True, False)
('P2000 | Lifted Spirits', True, False)
('P2000 | Pulse', True, False)
('P2000 | Granite Marbleized', False, True)
('P2000 | Oceanic', True, False)
('P2000 | Woodsman', True, False)
('P2000 | Turf', True, False)
('P2000 | Scorpion', False, False)
('P2000 | Space Race', False, False)
('P2000 | Red FragCam', True, False)
('P2000 | Ivory', True, False)
('P2000 | Urban Hazard', True, False)
('P2000 | Pathfinder', False, False)
('P2000 | Grassland', False, True)
('P2000 | Panther Camo', False, True)
('P2000 | Corticera', True, False)
('P2000 | Grassland Leaves', False, False)
('P2000 | Coach Class', False, False)
('P2000 | Chainmail', False, True)
('P250 | Epicenter', True, False)
('P250 | Visions', True, False)
('P250 | Asiimov', True, False)
('P250 | See Ya Later', True, False)
('P250 | Franklin', False, False)
('P250 | Nevermore', True, False)
('P250 | Muertos', True, False)
('P250 | Vino Primo', False, True)
("P250 | Apep's Curse", False, True)
('P250 | Wingshot', True, False)
('P250 | Cassette', True, False)
('P250 | Small Game', False, False)
('P250 | Metallic DDPAT', False, True)
('P250 | Crimson Kimono', False, False)
('P250 | Whiteout', False, False)
('P250 | Mehndi', True, False)
('P250 | Supernova', True, False)
('P250 | X-Ray', True, False)
('P250 | Cartel', True, False)
('P250 | Inferno', True, False)
('P250 | Cyber Shell', True, False)
('P250 | Valence', True, False)
('P250 | Exchanger', False, True)
('P250 | Re.built', True, False)
('P250 | Steel Disruption', True, False)
('P250 | Drought', False, True)
('P250 | Undertow', True, False)
('P250 | Verdigris', True, False)
('P250 | Ripple', True, False)
('P250 | Sand Dune', False, True)
('P250 | Facility Draft', False, True)
('P250 | Splash', True, False)
('P250 | Mint Kimono', False, False)
('P250 | Gunsmoke', False, True)
('P250 | Hive', True, False)
('P250 | Contaminant', True, False)
('P250 | Forest Night', False, False)
('P250 | Contamination', False, True)
('P250 | Iron Clad', True, False)
('P250 | Red Rock', True, False)
('P250 | Dark Filigree', False, False)
('P250 | Boreal Forest', False, True)
('P250 | Bengal Tiger', False, False)
('P250 | Digital Architect', False, True)
('P250 | Bone Mask', False, True)
('P250 | Black & Tan', False, True)
('P250 | Nuclear Threat', False, True)
('P250 | Modern Hunter', False, False)
('P250 | Facets', False, False)
('R8 Revolver | Crazy 8', True, False)
('R8 Revolver | Fade', True, False)
('R8 Revolver | Banana Cannon', True, False)
('R8 Revolver | Amber Fade', False, True)
('R8 Revolver | Tango', True, False)
('R8 Revolver | Llama Cannon', True, False)
('R8 Revolver | Skull Crusher', True, False)
('R8 Revolver | Junk Yard', True, False)
('R8 Revolver | Blaze', False, False)
('R8 Revolver | Crimson Web', True, False)
('R8 Revolver | Nitro', False, True)
('R8 Revolver | Reboot', True, False)
('R8 Revolver | Grip', True, False)
('R8 Revolver | Phoenix Marker', False, False)
('R8 Revolver | Bone Forged', True, False)
('R8 Revolver | Survivalist', True, False)
('R8 Revolver | Inlay', False, True)
('R8 Revolver | Memento', True, False)
('R8 Revolver | Bone Mask', False, True)
('R8 Revolver | Desert Brush', False, True)
('R8 Revolver | Night', False, True)
('R8 Revolver | Canal Spray', False, False)
('Tec-9 | Fuel Injector', True, False)
('Tec-9 | Brother', True, False)
('Tec-9 | Decimator', True, False)
('Tec-9 | Avalanche', True, False)
('Tec-9 | Bamboozle', True, False)
('Tec-9 | Isaac', True, False)
('Tec-9 | Slag', True, False)
('Tec-9 | Ice Cap', True, False)
('Tec-9 | Red Quartz', False, True)
('Tec-9 | Tiger Stencil', False, False)
('Tec-9 | Bamboo Forest', False, False)
('Tec-9 | Re-Entry', True, False)
('Tec-9 | Remote Control', False, True)
('Tec-9 | Nuclear Threat', False, True)
('Tec-9 | Sandstorm', True, False)
('Tec-9 | Rust Leaf', False, False)
('Tec-9 | Rebel', True, False)
('Tec-9 | Hades', False, False)
('Tec-9 | VariCamo', False, True)
('Tec-9 | Snek-9', True, False)
('Tec-9 | Cracked Opal', True, False)
("Tec-9 | Mummy's Rot", False, True)
('Tec-9 | Jambiya', True, False)
('Tec-9 | Blue Titanium', True, False)
('Tec-9 | Fubar', True, False)
('Tec-9 | Toxic', False, True)
('Tec-9 | Army Mesh', False, True)
('Tec-9 | Cut Out', True, False)
('Tec-9 | Groundwater', False, True)
('Tec-9 | Safety Net', False, False)
('Tec-9 | Titanium Bit', True, False)
('Tec-9 | Flash Out', True, False)
('Tec-9 | Urban DDPAT', False, False)
('Tec-9 | Orange Murano', False, False)
('Tec-9 | Ossified', False, False)
('Tec-9 | Brass', False, True)
('Tec-9 | Phoenix Chalk', False, False)
('Tec-9 | Blast From the Past', False, True)
('Tec-9 | Tornado', False, False)
('Tec-9 | Terrace', False, False)
('USP-S | Printstream', True, False)
('USP-S | Jawbreaker', True, False)
('USP-S | Cortex', True, False)
('USP-S | Ticket to Hell', True, False)
('USP-S | The Traitor', True, False)
('USP-S | Neo-Noir', True, False)
('USP-S | Kill Confirmed', True, False)
('USP-S | Alpine Camo', False, False)
('USP-S | Cyrex', True, False)
('USP-S | Black Lotus', True, False)
('USP-S | Check Engine', False, True)
('USP-S | Torque', True, False)
('USP-S | Stainless', True, False)
('USP-S | Guardian', True, False)
('USP-S | 27', True, False)
('USP-S | Flashback', True, False)
('USP-S | Monster Mashup', True, False)
('USP-S | Purple DDPAT', False, True)
('USP-S | Lead Conduit', True, False)
('USP-S | Blueprint', True, False)
('USP-S | Caiman', True, False)
('USP-S | Night Ops', False, True)
('USP-S | Whiteout', False, False)
('USP-S | Royal Blue', False, True)
('USP-S | Serum', True, False)
('USP-S | Desert Tactical', False, True)
('USP-S | Orion', True, False)
('USP-S | Orange Anolis', False, True)
('USP-S | Forest Leaves', False, True)
('USP-S | Blood Tiger', True, False)
('USP-S | Overgrowth', True, False)
('USP-S | Para Green', False, False)
('USP-S | Road Rash', False, True)
('USP-S | Pathfinder', False, False)
('USP-S | Ancient Visions', False, True)
('USP-S | Business Class', False, False)
('USP-S | Dark Water', True, False)
('USP-S | Target Acquired', False, False)
('Zeus x27 | Olympus', True, False)
('Zeus x27 | Dragon Snore', False, False)
('MAG-7 | Monster Call', True, False)
('MAG-7 | Justice', True, False)
('MAG-7 | Chainmail', False, False)
('MAG-7 | Metallic DDPAT', False, True)
('MAG-7 | SWAG-7', True, False)
('MAG-7 | Heat', True, False)
('MAG-7 | Core Breach', False, True)
('MAG-7 | Wildwood', False, False)
('MAG-7 | Insomnia', True, False)
('MAG-7 | Foresight', True, False)
('MAG-7 | Carbon Fiber', False, False)
('MAG-7 | Heaven Guard', True, False)
('MAG-7 | Prism Terrace', False, True)
('MAG-7 | Bulldozer', False, True)
('MAG-7 | BI83 Spectrum', True, False)
('MAG-7 | Praetorian', True, False)
('MAG-7 | Silver', False, True)
('MAG-7 | Copper Coated', False, True)
('MAG-7 | Storm', False, True)
('MAG-7 | Cobalt Core', True, False)
('MAG-7 | Rust Coat', False, True)
('MAG-7 | Seabird', False, False)
('MAG-7 | Petroglyph', True, False)
('MAG-7 | Navy Sheen', False, True)
('MAG-7 | Popdog', True, False)
('MAG-7 | Firestarter', True, False)
('MAG-7 | Hard Water', True, False)
('MAG-7 | Sand Dune', False, True)
('MAG-7 | Sonar', True, False)
('MAG-7 | Memento', True, False)
('MAG-7 | Hazard', False, False)
('MAG-7 | Irradiated Alert', False, True)
('MAG-7 | Counter Terrace', False, False)
('MAG-7 | Cinquedea', False, False)
('Nova | Hyper Beast', True, False)
('Nova | Wurst Hölle', False, False)
('Nova | Antique', True, False)
('Nova | Dark Sigil', True, False)
('Nova | Caged Steel', False, False)
('Nova | Yorkshire', False, False)
('Nova | Windblown', True, False)
("Nova | Sobek's Bite", False, True)
('Nova | Koi', True, False)
('Nova | Candy Apple', False, True)
('Nova | Green Apple', False, True)
('Nova | Toy Soldier', True, False)
('Nova | Wild Six', True, False)
('Nova | Tempest', True, False)
('Nova | Graphite', True, False)
('Nova | Rising Skull', True, False)
('Nova | Moon in Libra', False, False)
('Nova | Red Quartz', False, False)
('Nova | Exo', True, False)
('Nova | Ranger', True, False)
('Nova | Mandrel', False, True)
('Nova | Clear Polymer', True, False)
('Nova | Wood Fired', True, False)
('Nova | Gila', True, False)
('Nova | Walnut', False, True)
('Nova | Polar Mesh', False, True)
('Nova | Predator', False, True)
('Nova | Sand Dune', False, True)
('Nova | Bloomstick', True, False)
('Nova | Ghost Camo', True, False)
('Nova | Interlock', False, True)
('Nova | Plume', True, False)
('Nova | Army Sheen', False, True)
('Nova | Blaze Orange', False, False)
('Nova | Modern Hunter', False, False)
('Nova | Rust Coat', False, False)
('Nova | Quick Sand', False, True)
('Nova | Forest Leaves', False, False)
('Nova | Baroque Orange', False, False)
('Sawed-Off | Kiss♥Love', True, False)
('Sawed-Off | Analog Input', True, False)
('Sawed-Off | Amber Fade', False, True)
('Sawed-Off | Full Stop', False, True)
('Sawed-Off | Brake Light', False, True)
('Sawed-Off | Irradiated Alert', False, True)
('Sawed-Off | Devourer', True, False)
('Sawed-Off | Apocalypto', True, False)
('Sawed-Off | Wasteland Princess', True, False)
('Sawed-Off | Spirit Board', True, False)
('Sawed-Off | Serenity', True, False)
('Sawed-Off | The Kraken', True, False)
('Sawed-Off | Snake Camo', False, True)
('Sawed-Off | Rust Coat', False, True)
('Sawed-Off | Bamboo Shadow', False, False)
('Sawed-Off | Orange DDPAT', True, False)
('Sawed-Off | Origami', True, False)
('Sawed-Off | Clay Ambush', False, False)
('Sawed-Off | Jungle Thicket', False, False)
('Sawed-Off | Morris', True, False)
('Sawed-Off | Black Sand', True, False)
('Sawed-Off | Limelight', True, False)
('Sawed-Off | Zander', True, False)
('Sawed-Off | Fubar', True, False)
('Sawed-Off | Forest DDPAT', False, False)
('Sawed-Off | Highwayman', True, False)
('Sawed-Off | Parched', False, True)
('Sawed-Off | Yorick', True, False)
('Sawed-Off | Sage Spray', False, True)
('Sawed-Off | Mosaico', False, False)
('Sawed-Off | First Class', False, False)
('Sawed-Off | Copper', False, False)
('XM1014 | Entombed', True, False)
('XM1014 | Monster Melt', False, False)
('XM1014 | Zombie Offensive', True, False)
('XM1014 | XOXO', True, False)
('XM1014 | Tranquility', True, False)
('XM1014 | Irezumi', True, False)
('XM1014 | Watchdog', True, False)
('XM1014 | Halftone Shift', False, False)
('XM1014 | Seasons', True, False)
('XM1014 | Incinegator', True, False)
('XM1014 | Ziggy', True, False)
('XM1014 | Black Tie', True, False)
('XM1014 | Ancient Lore', False, True)
('XM1014 | Teclu Burner', True, False)
('XM1014 | Blue Steel', False, True)
('XM1014 | Heaven Guard', True, False)
('XM1014 | Slipstream', True, False)
('XM1014 | CaliCamo', False, True)
('XM1014 | Elegant Vines', False, True)
('XM1014 | Oxide Blaze', True, False)
('XM1014 | Blue Spruce', False, True)
('XM1014 | Scumbria', True, False)
('XM1014 | VariCamo Blue', False, True)
('XM1014 | Quicksilver', True, False)
('XM1014 | Bone Machine', False, True)
('XM1014 | Charter', False, False)
('XM1014 | Banana Leaf', False, False)
('XM1014 | Hieroglyph', False, True)
('XM1014 | Red Python', True, False)
('XM1014 | Blue Tire', False, True)
('XM1014 | Grassland', False, False)
('XM1014 | Jungle', False, False)
('XM1014 | Urban Perforated', False, True)
('XM1014 | Fallout Warning', False, True)
('XM1014 | Blaze Orange', False, False)
('XM1014 | Red Leather', False, False)
('XM1014 | Frost Borre', False, False)
('MAC-10 | Saibā Oni', True, False)
('MAC-10 | Disco Tech', True, False)
('MAC-10 | Sakkaku', True, False)
('MAC-10 | Neon Rider', True, False)
('MAC-10 | Allure', True, False)
('MAC-10 | Pipsqueak', False, False)
('MAC-10 | Fade', False, False)
('MAC-10 | Candy Apple', False, True)
('MAC-10 | Light Box', True, False)
('MAC-10 | Heat', True, False)
('MAC-10 | Stalker', True, False)
('MAC-10 | Silver', False, False)
('MAC-10 | Propaganda', False, False)
('MAC-10 | Ensnared', True, False)
('MAC-10 | Malachite', True, False)
('MAC-10 | Toybox', True, False)
('MAC-10 | Graven', True, False)
('MAC-10 | Calf Skin', False, True)
('MAC-10 | Monkeyflage', True, False)
('MAC-10 | Pipe Down', True, False)
('MAC-10 | Last Dive', True, False)
('MAC-10 | Case Hardened', False, True)
('MAC-10 | Gold Brick', False, True)
('MAC-10 | Amber Fade', False, True)
('MAC-10 | Button Masher', True, False)
('MAC-10 | Ultraviolet', True, False)
('MAC-10 | Oceanic', True, False)
('MAC-10 | Lapis Gator', True, False)
('MAC-10 | Palm', False, True)
('MAC-10 | Echoing Sands', False, True)
('MAC-10 | Indigo', False, True)
('MAC-10 | Whitefish', True, False)
('MAC-10 | Nuclear Garden', False, True)
('MAC-10 | Rangeen', True, False)
('MAC-10 | Carnivore', True, False)
('MAC-10 | Strats', False, True)
('MAC-10 | Curse', True, False)
('MAC-10 | Surfwood', False, False)
('MAC-10 | Tatter', True, False)
('MAC-10 | Sienna Damask', False, True)
('MAC-10 | Classic Crate', True, False)
('MAC-10 | Aloha', True, False)
('MAC-10 | Urban DDPAT', False, True)
('MAC-10 | Commuter', False, False)
('MAC-10 | Tornado', False, False)
('MAC-10 | Hot Snakes', False, False)
('MAC-10 | Red Filigree', False, False)
('MAC-10 | Copper Borre', False, False)
('MP9 | Starlight Protector', True, False)
('MP9 | Food Chain', True, False)
('MP9 | Wild Lily', False, False)
('MP9 | Arctic Tri-Tone', False, False)
('MP9 | Mount Fuji', True, False)
('MP9 | Hydra', True, False)
('MP9 | Hot Rod', False, True)
('MP9 | Goo', True, False)
('MP9 | Ruby Poison Dart', True, False)
('MP9 | Rose Iron', True, False)
('MP9 | Airlock', True, False)
('MP9 | Storm', False, True)
('MP9 | Bioleak', True, False)
('MP9 | Deadly Poison', True, False)
('MP9 | Featherweight', True, False)
('MP9 | Hypnotic', True, False)
('MP9 | Capillary', True, False)
('MP9 | Modest Threat', True, False)
('MP9 | Setting Sun', False, True)
('MP9 | Old Roots', False, True)
('MP9 | Orange Peel', False, True)
('MP9 | Army Sheen', False, False)
('MP9 | Black Sand', True, False)
('MP9 | Music Box', False, True)
('MP9 | Slide', False, True)
('MP9 | Dart', True, False)
('MP9 | Sand Scale', True, False)
('MP9 | Sand Dashed', False, True)
('MP9 | Dry Season', False, False)
('MP9 | Green Plaid', False, False)
('MP9 | Dark Age', False, True)
('MP9 | Bulldozer', False, False)
('MP9 | Stained Glass', False, False)
("MP9 | Pandora's Box", False, False)
('MP5-SD | Kitbash', True, False)
('MP5-SD | Phosphor', True, False)
('MP5-SD | Neon Squeezer', False, False)
('MP5-SD | Statics', True, False)
('MP5-SD | Liquidation', True, False)
('MP5-SD | Co-Processor', False, True)
('MP5-SD | Necro Jr.', True, False)
('MP5-SD | Savannah Halftone', False, False)
('MP5-SD | Agent', True, False)
('MP5-SD | Nitro', False, False)
('MP5-SD | Autumn Twilly', False, False)
('MP5-SD | Bamboo Garden', False, False)
('MP5-SD | Oxide Oasis', False, True)
('MP5-SD | Gauss', True, False)
('MP5-SD | Condition Zero', True, False)
('MP5-SD | Acid Wash', True, False)
('MP5-SD | Lab Rats', False, True)
('MP5-SD | Desert Strike', True, False)
('MP5-SD | Dirt Drop', False, True)
('PP-Bizon | Space Cat', True, False)
('PP-Bizon | Brass', False, True)
('PP-Bizon | High Roller', True, False)
('PP-Bizon | Candy Apple', False, True)
('PP-Bizon | Judgement of Anubis', True, False)
('PP-Bizon | Cold Cell', False, False)
('PP-Bizon | Chemical Green', False, True)
('PP-Bizon | Runic', True, False)
('PP-Bizon | Osiris', True, False)
('PP-Bizon | Embargo', True, False)
('PP-Bizon | Fuel Rod', True, False)
('PP-Bizon | Antique', True, False)
('PP-Bizon | Jungle Slipstream', True, False)
('PP-Bizon | Night Ops', False, True)
('PP-Bizon | Photic Zone', True, False)
('PP-Bizon | Facility Sketch', False, True)
('PP-Bizon | Urban Dashed', False, True)
('PP-Bizon | Lumen', True, False)
('PP-Bizon | Bamboo Print', False, False)
('PP-Bizon | Night Riot', True, False)
('PP-Bizon | Blue Streak', True, False)
('PP-Bizon | Seabird', False, False)
('PP-Bizon | Cobalt Halftone', True, False)
('PP-Bizon | Anolis', False, True)
('PP-Bizon | Death Rattle', False, False)
('PP-Bizon | Sand Dashed', False, True)
('PP-Bizon | Irradiated Alert', False, True)
('PP-Bizon | Harvester', True, False)
('PP-Bizon | Breaker Box', False, True)
('PP-Bizon | Water Sigil', True, False)
('PP-Bizon | Forest Leaves', False, False)
('PP-Bizon | Carbon Fiber', False, True)
('PP-Bizon | Modern Hunter', False, False)
('PP-Bizon | Rust Coat', False, False)
('P90 | Randy Rush', True, False)
('P90 | Asiimov', True, False)
('P90 | Neoqueen', True, False)
('P90 | Attack Vector', False, False)
('P90 | Vent Rush', True, False)
('P90 | Teardown', False, True)
('P90 | Nostalgia', True, False)
('P90 | Wash me', False, False)
('P90 | Shallow Grave', True, False)
('P90 | Cold Blooded', True, False)
('P90 | Ash Wood', False, True)
('P90 | Chopper', True, False)
('P90 | Freight', True, False)
('P90 | Trigon', True, False)
('P90 | Facility Negative', False, True)
('P90 | Module', True, False)
('P90 | Grim', True, False)
('P90 | Death by Kitty', True, False)
('P90 | Elite Build', True, False)
('P90 | Blind Spot', True, False)
('P90 | ScaraB Rush', False, True)
('P90 | Traction', True, False)
('P90 | Verdant Growth', False, True)
('P90 | Off World', True, False)
('P90 | Emerald Dragon', True, False)
('P90 | Shapewood', True, False)
('P90 | Sunset Lily', False, False)
('P90 | Storm', False, True)
('P90 | Fallout Warning', False, True)
('P90 | Run and Hide', False, True)
('P90 | Scorched', False, True)
('P90 | Death Grip', True, False)
('P90 | Cocoa Rampage', True, False)
('P90 | Sand Spray', False, True)
('P90 | Desert DDPAT', False, True)
('P90 | Leather', False, False)
('P90 | Desert Warfare', True, False)
('P90 | Virus', True, False)
('P90 | Tiger Pit', False, False)
('P90 | Ancient Earth', False, True)
('P90 | Schematic', False, True)
('P90 | Glacier Mesh', False, True)
('P90 | Baroque Red', False, False)
('P90 | Astral Jörmungandr', False, False)
('UMP-45 | Neo-Noir', True, False)
('UMP-45 | Wild Child', True, False)
('UMP-45 | Crimson Foil', False, False)
('UMP-45 | Momentum', True, False)
('UMP-45 | Primal Saber', True, False)
('UMP-45 | Carbon Fiber', False, False)
('UMP-45 | Motorized', True, False)
('UMP-45 | Moonrise', True, False)
('UMP-45 | Arctic Wolf', True, False)
('UMP-45 | Exposure', True, False)
('UMP-45 | Roadblock', True, False)
('UMP-45 | Oscillator', True, False)
('UMP-45 | Crime Scene', False, False)
('UMP-45 | Fade', False, True)
('UMP-45 | Blaze', False, True)
('UMP-45 | Scaffold', True, False)
('UMP-45 | Gunsmoke', False, True)
('UMP-45 | Indigo', False, True)
('UMP-45 | Plastique', True, False)
('UMP-45 | Bone Pile', True, False)
('UMP-45 | Caramel', False, False)
('UMP-45 | Facility Dark', False, True)
('UMP-45 | Riot', True, False)
('UMP-45 | Corporal', True, False)
('UMP-45 | Grand Prix', True, False)
('UMP-45 | Scorched', False, True)
('UMP-45 | Gold Bismuth', True, False)
('UMP-45 | Briefing', True, False)
('UMP-45 | Urban DDPAT', False, True)
('UMP-45 | Labyrinth', True, False)
('UMP-45 | Mudder', False, True)
('UMP-45 | Delusion', True, False)
('UMP-45 | Fallout Warning', False, True)
('UMP-45 | Mechanism', False, True)
('UMP-45 | Full Stop', False, False)
('UMP-45 | Metal Flowers', True, False)
('UMP-45 | Houndstooth', False, False)
('UMP-45 | Day Lily', False, False)
("UMP-45 | Minotaur's Labyrinth", False, False)
('AK-47 | Inheritance', True, False)
